trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
283,False,"{'a': 0.8, 'e': 1.2486109203511094e-05}",30,16,26.40681437683557,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
284,False,"{'a': 0.8, 'e': 1.2398333663955564e-05}",20,7,29.23368575900961,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
285,False,"{'a': 0.8, 'e': 1.2311480455524777e-05}",20,14,12.110772774011457,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
286,False,"{'a': 0.8, 'e': 1.2225536701061176e-05}",30,12,34.21552954913801,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
287,False,"{'a': 0.8, 'e': 1.2140489747356409e-05}",25,14,19.25714782861837,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
288,False,"{'a': 0.8, 'e': 1.2056327160493826e-05}",20,16,6.3384130483719545,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
289,False,"{'a': 0.8, 'e': 1.1973036721303624e-05}",20,16,7.109705742770432,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
290,False,"{'a': 0.8, 'e': 1.1890606420927467e-05}",35,22,23.181825456015808,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
291,False,"{'a': 0.8, 'e': 1.1809024456489649e-05}",20,12,15.32762814632973,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
292,False,"{'a': 0.8, 'e': 1.1728279226871834e-05}",20,13,12.890822589947943,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
293,False,"{'a': 0.8, 'e': 1.1648359328588568e-05}",20,10,20.618138797895796,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
294,False,"{'a': 0.8, 'e': 1.156925355176084e-05}",25,11,26.695268261506975,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
295,False,"{'a': 0.8, 'e': 1.1490950876185005e-05}",30,22,15.80124331129456,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
296,False,"{'a': 0.8, 'e': 1.1413440467494522e-05}",20,15,8.198033250676906,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
